Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-12-22 10:07:00-05:00,194.7899932861328,194.81500244140625,194.77000427246094,194.80999755859375,0,0.0,0.0
2023-12-22 10:08:00-05:00,194.82000732421875,194.97000122070312,194.80999755859375,194.96499633789062,89712,0.0,0.0
2023-12-22 10:09:00-05:00,194.97000122070312,194.9873046875,194.89500427246094,194.9149932861328,81584,0.0,0.0
2023-12-22 10:10:00-05:00,194.9199981689453,194.9600067138672,194.8300018310547,194.85009765625,57292,0.0,0.0
2023-12-22 10:11:00-05:00,194.85000610351562,194.92999267578125,194.85000610351562,194.92010498046875,71879,0.0,0.0
2023-12-22 10:12:00-05:00,194.92999267578125,194.97000122070312,194.875,194.97000122070312,80572,0.0,0.0
2023-12-22 10:13:00-05:00,194.97999572753906,195.0500030517578,194.85000610351562,194.85000610351562,109530,0.0,0.0
2023-12-22 10:14:00-05:00,194.85499572753906,194.99899291992188,194.85499572753906,194.97999572753906,72442,0.0,0.0
2023-12-22 10:15:00-05:00,194.97500610351562,195.0,194.88999938964844,194.91000366210938,81087,0.0,0.0
2023-12-22 10:16:00-05:00,194.9199981689453,194.93499755859375,194.86000061035156,194.875,55286,0.0,0.0
2023-12-22 10:17:00-05:00,194.8800048828125,194.91000366210938,194.8300018310547,194.86500549316406,58898,0.0,0.0
2023-12-22 10:18:00-05:00,194.8699951171875,194.9199981689453,194.86000061035156,194.9149932861328,67380,0.0,0.0
2023-12-22 10:19:00-05:00,194.9149932861328,194.94500732421875,194.85009765625,194.875,78792,0.0,0.0
2023-12-22 10:20:00-05:00,194.875,194.893798828125,194.71009826660156,194.78500366210938,96132,0.0,0.0
2023-12-22 10:21:00-05:00,194.7899932861328,194.85000610351562,194.7449951171875,194.78500366210938,74553,0.0,0.0
2023-12-22 10:22:00-05:00,194.78500366210938,194.7899932861328,194.7100067138672,194.72999572753906,55748,0.0,0.0
2023-12-22 10:23:00-05:00,194.73199462890625,194.77999877929688,194.6999969482422,194.7050018310547,80002,0.0,0.0
2023-12-22 10:24:00-05:00,194.70199584960938,194.71499633789062,194.5800018310547,194.61000061035156,204884,0.0,0.0
2023-12-22 10:25:00-05:00,194.61000061035156,194.66990661621094,194.5500030517578,194.66000366210938,94546,0.0,0.0
2023-12-22 10:26:00-05:00,194.66000366210938,194.7550048828125,194.66000366210938,194.74000549316406,92359,0.0,0.0
2023-12-22 10:27:00-05:00,194.75,194.8000030517578,194.72999572753906,194.78500366210938,68231,0.0,0.0
2023-12-22 10:28:00-05:00,194.78500366210938,194.83999633789062,194.77999877929688,194.8101043701172,75312,0.0,0.0
2023-12-22 10:29:00-05:00,194.82000732421875,194.83999633789062,194.65499877929688,194.6649932861328,79920,0.0,0.0
2023-12-22 10:30:00-05:00,194.6649932861328,194.74119567871094,194.59500122070312,194.60000610351562,97253,0.0,0.0
