,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,AAPL,AMZN,GOOG,AAPL,AMZN,GOOG,AAPL,AMZN,GOOG,AAPL,AMZN,GOOG,AAPL,AMZN,GOOG,AAPL,AMZN,GOOG
Date,,,,,,,,,,,,,,,,,,
